,0
532,20.88
533,20.36
534,20.1
535,20.59
536,20.16
537,19.93
538,19.99
539,20.29
540,20.15
541,19.72
542,19.29
543,19.22
544,19.37
545,18.98
546,19.03
547,19.18
548,19.64
549,19.48
550,19.12
551,18.43
552,19.16
553,18.54
554,18.64
555,18.42
556,18.25
557,17.99
558,18.03
559,17.43
560,17.67
561,17.62
562,16.94
563,16.33
564,16.61
565,16.48
566,16.48
567,16.3
568,15.96
569,16.02
570,17.18
571,17.03
572,17.05
573,17.35
574,17.9
575,17.75
576,17.7
577,17.89
578,17.77
579,17.8
580,17.48
581,16.36
582,16.61
583,16.19
584,16.09
585,16.44
586,16.36
587,16.08
588,15.48
589,15.75
590,16.21
591,15.98
592,15.84
593,15.77
594,15.79
595,15.58
596,15.64
597,15.47
598,16.16
599,16.67
600,16.46
601,16.0
602,15.91
603,15.95
604,15.7
605,15.89
606,15.8
607,15.23
608,14.75
609,15.37
610,15.26
611,15.18
612,15.33
613,15.61
614,13.68
615,13.36
616,13.66
617,13.91
618,13.87
619,13.83
620,13.77
621,13.43
622,13.9
623,13.89
624,14.3
625,14.5
626,14.66
627,14.29
628,14.26
629,14.25
630,14.05
631,14.05
632,13.71
633,13.62
634,13.77
635,13.52
636,13.71
637,13.58
638,13.48
639,13.15
640,12.83
641,13.17
642,13.0
643,13.15
644,13.18
645,13.37
646,13.08
647,13.08
648,13.21
649,13.55
650,13.92
651,13.88
652,13.81
653,13.83
654,14.11
655,14.16
656,14.08
657,13.81
658,13.52
659,13.1
660,13.12
661,13.19
662,13.06
663,12.92
664,13.02
665,13.04
666,13.31
667,13.26
668,13.13
669,12.82
670,13.02
671,12.3
672,11.97
673,11.93
674,12.17
675,12.4
676,12.38
677,12.47
678,12.74
679,13.13
680,13.52
681,13.41
682,13.61
683,13.74
684,14.07
685,14.01
686,14.16
687,14.04
688,13.92
689,13.98
690,13.64
691,13.18
692,13.36
693,13.32
694,13.62
695,13.52
696,13.57
697,13.59
698,13.68
699,13.57
700,13.68
701,13.88
702,13.82
703,13.86
704,13.81
705,13.68
706,13.48
707,13.58
708,13.49
709,13.45
710,13.29
711,13.4
712,13.22
713,13.28
714,13.27
715,13.0
716,12.81
717,12.71
718,12.37
719,12.38
720,12.24
721,12.1
722,12.19
723,12.58
724,12.86
725,12.94
726,12.83
727,12.76
728,12.98
729,12.93
730,13.13
731,13.11
732,13.14
733,13.22
734,13.23
735,13.27
736,13.06
737,13.1
738,12.88
739,13.54
740,13.48
741,13.56
742,13.77
743,13.94
744,13.91
745,14.04
746,14.22
747,14.43
748,14.3
749,14.29
750,14.26
751,14.06
752,14.46
753,15.15
754,15.43
755,15.41
756,15.54
757,15.71
758,15.5
759,15.54
760,15.56
761,15.5
762,15.56
763,15.12
764,15.19
765,15.21
766,15.08
767,15.12
768,15.43
769,15.33
770,15.42
771,15.66
772,15.31
773,14.47
774,14.63
775,14.39
776,13.93
777,14.09
778,14.38
779,14.61
780,14.46
781,15.18
782,15.13
783,14.9
784,15.05
785,14.94
786,14.75
787,15.1
788,15.15
789,14.96
790,14.95
791,15.09
792,14.88
793,15.06
794,15.15
795,15.25
796,15.35
797,15.43
798,15.51
799,15.61
800,15.75
801,16.13
802,16.09
803,16.24
804,16.46
805,16.27
806,16.4
807,15.99
808,16.24
809,16.17
810,16.09
811,16.3
812,16.26
813,16.21
814,15.95
815,16.2
816,16.15
817,16.18
818,16.2
819,16.44
820,16.34
821,16.14
822,16.17
823,16.03
824,16.22
825,16.18
826,16.3
827,16.6
828,16.99
829,17.31
830,17.16
831,17.63
832,17.58
833,17.68
834,17.43
835,17.63
836,17.6
837,17.47
838,17.45
839,17.26
840,17.35
841,17.27
842,17.14
843,16.95
844,17.09
845,17.74
846,17.67
847,17.55
848,17.43
849,17.26
850,17.46
851,17.22
852,16.84
853,16.93
854,16.81
855,16.91
856,16.7
857,16.59
858,16.67
859,17.01
860,17.35
861,17.25
862,16.83
863,17.09
864,17.16
865,17.31
866,17.0
867,17.13
868,15.76
869,15.59
870,15.55
871,15.58
872,15.61
873,15.84
874,15.95
875,16.05
876,16.27
877,16.56
878,16.78
879,16.78
880,17.05
881,17.03
882,17.09
883,16.82
884,16.63
885,16.45
886,16.52
887,16.35
888,16.2
889,16.52
890,16.48
891,16.52
892,16.63
893,16.67
894,16.62
895,16.61
896,16.62
897,16.78
898,16.8
899,16.61
900,16.43
901,16.49
902,16.64
903,16.63
904,16.55
905,16.68
906,16.88
907,17.06
908,16.9
909,16.83
910,16.81
911,16.81
912,16.96
913,16.99
914,16.87
915,16.65
916,16.39
917,16.39
918,16.6
919,16.39
920,16.27
921,16.33
922,16.22
923,16.25
924,16.44
925,16.63
926,16.65
927,16.43
928,17.78
929,17.91
930,18.6
931,18.55
932,18.48
933,18.52
934,18.55
935,18.82
936,18.61
937,18.55
938,18.51
939,18.44
940,18.67
941,18.69
942,18.7
943,18.54
944,18.81
945,19.04
946,19.04
947,19.09
948,19.12
949,19.34
950,19.7
951,19.65
952,20.0
953,19.93
954,19.79
955,20.07
956,20.3
957,20.38
958,20.33
959,20.65
960,20.77
961,20.69
962,20.34
963,20.12
964,20.32
965,20.29
966,20.32
967,20.25
968,20.04
969,20.02
970,19.9
971,19.91
972,20.03
973,20.27
974,20.48
975,20.61
976,20.6
977,20.72
978,21.15
979,21.01
980,21.02
981,20.95
982,20.99
983,21.26
984,21.01
985,20.89
986,20.52
987,20.81
988,20.7
989,20.88
990,21.42
991,21.38
992,21.53
993,21.82
994,21.68
995,21.63
996,21.07
997,21.19
998,21.07
999,20.96
1000,20.93
1001,20.93
1002,20.98
1003,21.26
1004,21.26
1005,21.54
1006,21.6
1007,21.7
1008,21.96
1009,22.27
1010,22.28
1011,22.28
1012,22.44
1013,22.49
1014,22.35
1015,22.62
1016,22.65
1017,22.7
1018,22.88
1019,21.91
1020,21.73
1021,21.92
1022,21.79
1023,21.7
1024,22.37
1025,22.47
1026,22.52
1027,22.51
1028,22.34
1029,22.5
1030,22.55
1031,22.36
1032,22.38
1033,22.73
1034,22.54
1035,21.68
1036,22.32
1037,22.17
1038,22.32
1039,21.97
1040,22.13
1041,22.06
1042,22.06
1043,21.87
1044,22.33
1045,22.37
1046,22.31
1047,22.11
1048,21.87
1049,21.6
1050,21.32
1051,21.63
1052,22.1
1053,22.7
1054,22.81
1055,23.22
1056,23.31
1057,23.28
1058,23.64
1059,23.77
1060,23.69
1061,23.92
1062,24.23
1063,24.05
1064,24.11
1065,24.18
1066,24.25
1067,24.21
1068,24.4
1069,24.75
1070,25.1
1071,25.4
1072,25.36
1073,25.69
1074,25.51
1075,25.87
1076,25.91
1077,26.39
1078,26.16
1079,26.47
1080,26.46
1081,25.6
1082,25.5
1083,25.79
1084,25.69
1085,25.58
1086,25.0
1087,25.39
1088,24.9
1089,24.83
1090,24.41
1091,24.08
1092,23.75
1093,24.34
1094,25.06
1095,24.87
1096,25.12
1097,25.03
1098,24.92
1099,25.36
1100,25.34
1101,25.03
1102,24.55
1103,24.32
1104,23.64
1105,23.64
1106,23.97
1107,24.89
1108,24.92
1109,24.3
1110,24.52
1111,24.42
1112,23.76
1113,23.58
1114,24.18
1115,24.37
1116,25.0
1117,25.13
1118,25.16
1119,24.28
1120,25.65
1121,26.45
1122,26.06
1123,26.39
1124,26.39
1125,26.6
1126,26.79
1127,26.56
1128,26.74
1129,27.25
1130,27.89
1131,28.24
1132,28.38
1133,28.55
1134,28.75
1135,28.69
1136,28.92
1137,29.7
1138,29.52
1139,28.76
1140,29.13
1141,28.69
1142,28.83
1143,28.89
1144,28.71
1145,28.23
1146,28.27
1147,28.39
1148,27.81
1149,27.3
1150,27.79
1151,27.6
1152,27.9
1153,28.37
1154,28.69
1155,28.47
1156,28.12
1157,28.41
1158,28.29
1159,27.55
1160,27.75
1161,27.53
1162,28.22
1163,27.79
1164,27.75
1165,27.99
1166,28.44
1167,28.14
1168,28.05
1169,28.26
1170,28.38
1171,28.33
1172,28.21
1173,28.31
1174,28.18
1175,27.86
1176,28.5
1177,28.34
1178,28.72
1179,28.96
1180,29.1
1181,29.62
1182,29.16
1183,28.73
1184,27.95
1185,28.8
1186,28.74
1187,28.09
1188,27.92
1189,28.09
1190,28.62
1191,28.33
1192,28.23
1193,28.26
1194,28.92
1195,28.88
1196,29.2
1197,29.17
1198,29.17
1199,29.47
1200,29.72
1201,29.07
1202,29.61
1203,29.55
1204,29.22
1205,29.27
1206,29.14
1207,29.18
1208,29.01
1209,28.85
1210,28.66
1211,28.58
1212,28.9
1213,28.84
1214,28.52
1215,28.46
1216,28.62
1217,28.55
1218,28.68
1219,28.39
1220,28.62
1221,28.49
1222,28.73
1223,28.59
1224,28.43
1225,27.93
1226,28.13
1227,28.39
1228,28.36
1229,28.26
1230,28.19
1231,27.49
1232,26.93
1233,27.65
1234,28.18
1235,28.17
1236,28.44
1237,28.82
1238,29.07
1239,29.62
1240,29.32
1241,28.08
1242,28.07
1243,27.92
1244,27.53
1245,27.67
1246,27.58
1247,27.44
1248,27.2
1249,26.56
1250,25.71
1251,25.88
1252,25.94
1253,26.02
1254,26.97
1255,25.57
1256,25.96
1257,25.94
1258,26.12
1259,26.39
1260,26.24
1261,25.91
1262,25.38
1263,23.83
1264,23.23
1265,23.37
1266,24.71
1267,25.44
1268,25.52
1269,25.4
1270,24.27
1271,25.31
1272,24.86
1273,24.62
1274,25.3
1275,24.81
1276,25.36
1277,25.73
1278,25.98
1279,26.2
1280,26.22
1281,25.66
1282,25.56
1283,25.95
1284,25.55
1285,25.75
1286,25.91
1287,25.84
1288,25.33
1289,24.57
1290,24.85
1291,24.69
1292,24.87
1293,24.96
1294,25.08
1295,24.96
1296,24.67
1297,25.26
1298,25.14
1299,25.18
1300,24.83
1301,25.2
