ts_code,trade_date,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_volume_rate,pb,ps,total_share,float_share,free_share,total_mv,circ_mv
AAPL.US,20100804,264.28,260.31,262.98,261.93,1.05,0.4009,15013400,3948223932.0,0.0938,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4339170000000.0,4207680000000.0
AAPL.US,20100805,263.18,260.55,261.7,262.98,-1.28,-0.4867,10324900,2702026330.0,0.0645,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4318050000000.0,4187200000000.0
AAPL.US,20100806,261.49,257.63,260.09,261.7,-1.61,-0.6152,15889200,4132637917.2,0.0993,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4291485000000.0,4161440000000.0
AAPL.US,20100809,262.15,259.57,261.75,260.09,1.66,0.6382,10826000,2833705500.0,0.0677,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4318875000000.0,4188000000000.0
AAPL.US,20100810,260.45,257.55,259.41,261.75,-2.34,-0.894,16140000,4186877400.0,0.1009,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4280265000000.0,4150560000000.0
AAPL.US,20100811,255.69,249.81,250.19,259.41,-9.22,-3.5542,22144800,5540407512.0,0.1384,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4128135000000.0,4003040000000.0
AAPL.US,20100812,253.1,246.12,251.79,250.19,1.6,0.6395,19104300,4810271697.0,0.1194,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4154535000000.0,4028640000000.0
AAPL.US,20100813,251.88,249.09,249.1,251.79,-2.69,-1.0684,12673900,3157068490.0,0.0792,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4110150000000.0,3985600000000.0
AAPL.US,20100816,250.01,246.62,247.64,249.1,-1.46,-0.5861,11372500,2816285900.0,0.0711,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4086060000000.0,3962240000000.0
AAPL.US,20100817,254.63,249.2,251.97,247.64,4.33,1.7485,15094300,3803310771.0,0.0943,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4157505000000.0,4031520000000.0
AAPL.US,20100818,254.67,251.58,253.07,251.97,1.1,0.4366,12132000,3070245240.0,0.0758,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4175655000000.0,4049120000000.0
AAPL.US,20100819,253.48,248.68,249.88,253.07,-3.19,-1.2605,15239500,3808046260.0,0.0952,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4123020000000.0,3998080000000.0
AAPL.US,20100820,253.92,249.0,249.64,249.88,-0.24,-0.096,13722500,3425684900.0,0.0858,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4119060000000.0,3994240000000.0
AAPL.US,20100823,252.0,245.25,245.8,249.64,-3.84,-1.5382,14787200,3634693760.0,0.0924,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4055700000000.0,3932800000000.0
AAPL.US,20100824,243.0,238.65,239.93,245.8,-5.87,-2.3881,21520200,5163341586.0,0.1345,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,3958845000000.0,3838880000000.0
AAPL.US,20100825,243.99,237.2,242.89,239.93,2.96,1.2337,21316700,5177613263.0,0.1332,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4007685000000.0,3886240000000.0
AAPL.US,20100826,245.75,240.28,240.28,242.89,-2.61,-1.0746,16660900,4003281052.0,0.1041,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,3964620000000.0,3844480000000.0
AAPL.US,20100827,242.61,235.56,241.62,240.28,1.34,0.5577,19585400,4732224348.0,0.1224,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,3986730000000.0,3865920000000.0
AAPL.US,20100830,245.75,240.68,242.5,241.62,0.88,0.3642,13688900,3319558250.0,0.0856,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4001250000000.0,3880000000000.0
AAPL.US,20100831,244.56,240.35,243.1,242.5,0.6,0.2474,15028100,3653331110.0,0.0939,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4011150000000.0,3889600000000.0
AAPL.US,20100901,251.46,246.28,250.33,243.1,7.23,2.9741,24894200,6231765086.0,0.1556,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4130445000000.0,4005280000000.0
AAPL.US,20100902,252.17,248.57,252.17,250.33,1.84,0.735,14836700,3741370639.0,0.0927,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4160805000000.0,4034720000000.0
AAPL.US,20100903,258.78,254.5,258.77,252.17,6.6,2.6173,18599600,4813018492.0,0.1162,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4269705000000.0,4140320000000.0
AAPL.US,20100907,259.53,256.25,257.81,258.77,-0.96,-0.371,12234200,3154099102.0,0.0765,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4253865000000.0,4124960000000.0
AAPL.US,20100908,264.39,259.1,262.92,257.81,5.11,1.9821,18805400,4944315768.0,0.1175,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4338180000000.0,4206720000000.0
AAPL.US,20100909,266.52,262.92,263.07,262.92,0.15,0.0571,15663400,4120570638.0,0.0979,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4340655000000.0,4209120000000.0
AAPL.US,20100910,264.5,261.4,263.41,263.07,0.34,0.1292,13840800,3645805128.0,0.0865,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4346265000000.0,4214560000000.0
AAPL.US,20100913,268.28,265.76,267.04,263.41,3.63,1.3781,13885000,3707850400.0,0.0868,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4406160000000.0,4272640000000.0
AAPL.US,20100914,269.17,265.52,268.06,267.04,1.02,0.382,14576800,3907457008.0,0.0911,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4422990000000.0,4288960000000.0
AAPL.US,20100915,270.38,267.84,270.22,268.06,2.16,0.8058,15334600,4143715612.0,0.0958,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4458630000000.0,4323520000000.0
AAPL.US,20100916,276.67,269.5,276.57,270.22,6.35,2.3499,23289400,6441149358.0,0.1456,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4563405000000.0,4425120000000.0
AAPL.US,20100917,277.96,273.68,275.37,276.57,-1.2,-0.4339,22659900,6239856663.0,0.1416,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4543605000000.0,4405920000000.0
AAPL.US,20100920,283.78,275.85,283.23,275.37,7.86,2.8543,23524200,6662759166.0,0.147,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4673295000000.0,4531680000000.0
AAPL.US,20100921,287.35,282.79,283.77,283.23,0.54,0.1907,23859800,6770695446.0,0.1491,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4682205000000.0,4540320000000.0
AAPL.US,20100922,287.98,282.41,287.75,283.77,3.98,1.4025,20903200,6014895800.0,0.1306,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4747875000000.0,4604000000000.0
AAPL.US,20100923,292.76,286.0,288.92,287.75,1.17,0.4066,28075600,8111602352.0,0.1755,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4767180000000.0,4622720000000.0
AAPL.US,20100924,293.53,290.55,292.32,288.92,3.4,1.1768,23196000,6780654720.0,0.145,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4823280000000.0,4677120000000.0
AAPL.US,20100927,294.73,291.01,291.16,292.32,-1.16,-0.3968,17244100,5020861132.4,0.1078,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4804140000000.0,4658560000000.0
AAPL.US,20100928,291.77,275.0,286.86,291.16,-4.3,-1.4768,36965800,10604009388.0,0.231,7.5,7.2,16500000000.0,16000000000.0,16000000000.0,4733190000000.0,4589760000000.0
