trade_date,close
2024-07-03,221.21946443239466
2024-07-05,222.5804959388901
2024-07-08,229.53935179109502
2024-07-09,229.82891883049243
2024-07-10,230.01669543844363
2024-07-11,235.06962424434764
2024-07-12,227.174306290412
2024-07-15,230.4578050690568
2024-07-16,234.99355187995414
2024-07-17,234.4216457725136
2024-07-18,228.56334337184015
2024-07-19,221.98250349857193
2024-07-22,221.07551169762598
2024-07-23,220.40446980075626
2024-07-24,223.22800209947104
2024-07-25,216.44881371139306
2024-07-26,215.11738833772054
2024-07-29,215.74982250684798
2024-07-30,215.70437657360674
2024-07-31,218.1121734196385
2024-08-01,222.4654550324291
2024-08-02,217.73709610773724
2024-08-05,219.55225873280722
2024-08-06,206.35586957422734
2024-08-07,202.8264823989137
2024-08-08,206.9943887566032
2024-08-09,210.7463503551229
2024-08-12,217.19195484605203
2024-08-13,219.67719191873144
2024-08-14,223.70915817428357
2024-08-15,223.40028034706913
2024-08-16,226.39900599045637
2024-08-19,227.70437629051162
2024-08-20,226.53104166766457
2024-08-21,227.23737341551453
2024-08-22,226.33253124359186
2024-08-23,223.66483146132794
2024-08-26,226.58545940615898
2024-08-27,226.84097954795507
2024-08-28,227.90094632673575
2024-08-29,226.50831143930762
2024-08-30,230.02042692409702
2024-09-03,228.9641653928153
2024-09-04,220.9675056806665
2024-09-05,219.05614775244337
2024-09-06,220.05433988643566
2024-09-09,218.20706381173449
2024-09-10,219.9341487812892
2024-09-11,219.47312830290406
2024-09-12,222.2129304425795
2024-09-13,222.75172473512623
2024-09-16,222.38801387992592
2024-09-17,214.9527584317901
2024-09-18,214.8858169124825
2024-09-19,219.696914122381
2024-09-20,229.82910086979962
2024-09-23,230.56659226505133
2024-09-24,228.38985108388036
2024-09-25,228.7251982172107
2024-09-26,225.23862791632598
2024-09-27,226.82254016288886
2024-09-30,227.63562238880817
2024-10-01,233.8752332242067
2024-10-02,225.6540687313634
2024-10-03,226.09786492417385
2024-10-04,224.81754845890669
2024-10-07,224.6081278146041
2024-10-08,220.1045863512447
2024-10-09,224.9868098289917
2024-10-10,230.05368670804194
2024-10-11,228.90362471384356
2024-10-14,228.57744385946953
2024-10-15,232.2716050293235
2024-10-16,234.37365888099438
2024-10-17,231.8541042848973
2024-10-18,232.87898467126166
2024-10-21,235.47675492044945
2024-10-22,236.51749368725103
2024-10-23,236.3224301278614
2024-10-24,229.98566182417554
2024-10-25,229.06463025574357
2024-10-28,229.67755355221183
2024-10-29,232.12144338248947
2024-10-30,233.8464783283961
2024-10-31,229.47248197150324
2024-11-01,224.13587522344483
2024-11-04,219.91226615788767
2024-11-05,218.60971341019484
2024-11-06,221.2464297227078
2024-11-07,221.34801631139158
2024-11-08,228.09079929347084
2024-11-11,228.00285199464201
2024-11-12,224.14623855889934
2024-11-13,224.57976019452036
2024-11-14,224.37664061183438
2024-11-15,228.20924846807
2024-11-18,224.88519167650796
2024-11-19,228.7342267533762
2024-11-20,228.91888605618877
2024-11-21,228.80848072722017
2024-11-22,229.22070139088405
2024-11-25,230.08427144589547
2024-11-26,233.76696438837678
2024-11-27,236.2441529721866
2024-11-29,236.2350425783776
2024-12-02,238.9842335187748
2024-12-03,241.04444867251337
2024-12-04,244.2079719021915
2024-12-05,244.75329726202952
2024-12-06,244.20649010367677
2024-12-09,243.45918691436066
2024-12-10,247.518887066494
2024-12-11,248.64630117386915
2024-12-12,247.00140746556278
2024-12-13,249.08438628851556
2024-12-16,248.2353739537412
2024-12-17,251.513320926387
2024-12-18,254.9492497494347
2024-12-19,247.73208561401418
2024-12-20,250.05204878016363
2024-12-23,255.18772757829967
2024-12-24,255.1812144472831
2024-12-26,260.43218968006806
2024-12-27,261.1254985949779
2024-12-30,255.55693060299535
2024-12-31,251.26297812950386
2025-01-02,248.30640065714252
2025-01-03,239.7581746461001
2025-01-06,240.05670612439317
2025-01-07,242.9769597542537
2025-01-08,239.70407154946903
2025-01-10,242.15236160615007
2025-01-13,235.02300798311876
2025-01-14,231.4902273037317
2025-01-15,230.89724080815984
2025-01-16,236.31874766921388
2025-01-17,225.7711837524312
2025-01-21,228.6279405258723
2025-01-22,220.0770747358146
2025-01-23,219.75181006641733
2025-01-24,222.4281955805345
2025-01-27,220.51480075666674
2025-01-28,231.40155856365544
2025-01-29,241.55532006957645
2025-01-30,242.8468586871006
2025-01-31,241.0825620617589
2025-02-03,237.4789973591054
2025-02-04,225.23117387919942
2025-02-05,230.91135063303028
2025-02-06,231.0166634891881
2025-02-07,232.00429806146187
2025-02-10,227.40944287466064
2025-02-11,226.41897643634167
2025-02-12,232.85600846301153
2025-02-13,237.6812093207356
2025-02-14,244.9625555221892
2025-02-18,248.8512701533832
2025-02-19,247.41215128087438
2025-02-20,246.90834290498515
2025-02-21,246.98095651540703
2025-02-24,245.77021977910417
2025-02-25,247.75340473791138
2025-02-26,247.604374542779
2025-02-27,238.91469870307063
2025-02-28,235.28411141548813
2025-03-03,240.71782680160868
2025-03-04,235.63177635257492
2025-03-05,234.67566465244047
2025-03-06,235.5459143159217
2025-03-07,233.65432191339156
2025-03-10,239.30743246490283
2025-03-11,225.3408186728896
2025-03-12,217.0928393683609
2025-03-13,212.75113563374927
2025-03-14,202.19708453754643
2025-03-17,209.9909933838685
2025-03-18,212.33992597289858
2025-03-19,211.4230035916402
2025-03-20,216.69805975726953
2025-03-21,214.26182152781027
